SAMPLE_ID,LAT,LON,OPERATIONAL_TAXON,CYTB,ddRAD,ddRAD_SRA,CYTB_genbank
QM_64098_Ct_agre,-20.89859763,142.1508977,Ctenotus_agrestis,TRUE,FALSE,NA,KJ504984.1
SAMR_65418_Ct_agre,-24.14,143.3392,Ctenotus_agrestis,TRUE,TRUE,SRS2115406,PQ522633
NA_ABTC24115_Ct_alac,-23.7407,133.346,Ctenotus_alacer,TRUE,FALSE,NA,KJ505250.1
NTMR_18324_Ct_alac,-23.45,134.683333,Ctenotus_alacer,TRUE,FALSE,NA,KJ504985.1
WAMR_121106_Ct_alle,-26.546389,113.963333,Ctenotus_australis,TRUE,FALSE,NA,KJ504986.1
WAMR_130254_Le_allo,-21.8083,114.1019,Lerista_allochira,TRUE,TRUE,SRS3431798,PQ522634
WAMR_130255_Le_allo,-22.0961,113.9961,Lerista_allochira,TRUE,TRUE,SRS3431800,PQ522635
WAMR_145199_Le_allo,-22.243,114.0347,Lerista_allochira,TRUE,TRUE,SRS3431799,PQ522636
NA_ABTC125975_Ct_allo,-21.943185,139.597033,Ctenotus_allotropis,TRUE,TRUE,SRS2115721,PQ522637
SAMAR_55806_Le_amel,-18.12833,144.6328,Lerista_ameles,TRUE,TRUE,SRR31035065,PQ522638
AMSR_126077_Eu_ampl,-20.95,148.8,Concinnia_ampla,FALSE,FALSE,NA,NA
NA_ANGUW103931_Ct_angu,-21.316944,115.166944,Ctenotus_angusticeps,TRUE,FALSE,NA,KJ505252.1
WAMR_104349_Ct_angu,-21.333,115.166667,Ctenotus_angusticeps,TRUE,TRUE,SRS2115366,KJ504988.1
WAMR_129936_Ct_ania,-23.25,118.666667,Ctenotus_ariadnae,TRUE,FALSE,NA,PQ522639
WAMR_114222_Le_apod,-16.4,122.9333,Lerista_apoda,TRUE,TRUE,SRS3431801,PQ522640
WAMR_114243_Le_apod,-17.3666,122.15,Lerista_apoda,TRUE,TRUE,SRS3431810,PQ522641
WAMR_168495_Le_apod,-17.5675,122.2169,Lerista_apoda,TRUE,TRUE,SRS3431807,PQ522642
NA_ARANSP006_Ct_aran,NA,NA,Ctenotus_taeniatus,TRUE,FALSE,NA,PQ522643
QM_63024_Ct_arca,-26.13187717,152.5174588,Ctenotus_arcanus,TRUE,FALSE,NA,KJ504991.1
QM_80852_Ct_arca,-21.318,148.5097,Ctenotus_terrareginae,TRUE,FALSE,NA,KJ505827.1
SAMR_55637_Ct_arca,-24.357,150.960556,Ctenotus_arcanus,TRUE,TRUE,SRS2115437,KJ505253.1
SAMR_55638_Ct_arca,-24.357,150.960556,Ctenotus_arcanus,TRUE,TRUE,SRS2115436,KJ505254.1
SAMAR_53771_Le_aren,-34.54778,135.2089,Lerista_microtis_2,TRUE,TRUE,SRR31035064,OR026699
SAMAR_45923_Le_micr,-35.18889,136.4778,Lerista_microtis_2,TRUE,TRUE,SRR31034945,OR026697
SAMAR_50095_Le_aren,-33.33333,134.8,Lerista_microtis_1,TRUE,TRUE,SRS3431538,OR026698
CUMV_14811_Ct_aria,-26.226,121.5575,Ctenotus_ariadnae,TRUE,TRUE,SRS2115735,PQ522644
CUMV_14812_Ct_aria,-26.226,121.5575,Ctenotus_ariadnae,TRUE,TRUE,SRS2115734,PQ522645
NA_DLR0011_Ct_aria,-26.226,121.5575,Ctenotus_ariadnae,TRUE,FALSE,NA,KJ505255.1
NA_DLR0149_Ct_aria,-26.226,121.5575,Ctenotus_ariadnae,TRUE,FALSE,NA,PQ522646
SAMAR_35025_Ct_aria,-26.95,140.95,Ctenotus_ariadnae,TRUE,TRUE,SRS2115597,PQ522647
SAMAR_38117_Ct_aria,-26.28333,136.1,Ctenotus_ariadnae,TRUE,TRUE,SRS2115587,PQ522648
SAMAR_45960_Ct_aria,-26.615,129.3139,Ctenotus_ariadnae,TRUE,TRUE,SRS2115557,PQ522649
UMMZ_244268_ct_aria,-26.28126,121.35741,Ctenotus_ariadnae,FALSE,FALSE,NA,NA
UMMZ_244269_ct_aria,-26.28126,121.35741,Ctenotus_ariadnae,FALSE,FALSE,NA,NA
NA_ABTC29139_Ct_arnh,-12.5,132.92,Ctenotus_arnhemensis,TRUE,FALSE,NA,KJ505828.1
