"OTU","svl","head_depth","d_tymp_rost","head_width","antebrachium","shank","toe","depth_pect","hand_digits","toe_digits","bioclimatic_PC1","bioclimatic_PC2"
"Anomalopus_brevicollis",73.67,3.29,5.94,4.08,0,0,0,4.03,0,0,0.74,-3.82
"Anomalopus_gowi",81,2.65,6.2,3.6,0,0,0,3.09,0,0,-3.29,-2.68
"Anomalopus_leuckartii",101,4.82,9.12,6.06,1.19,0.45,0,5.56,2,0,3.7,-4.47
"Anomalopus_pluto",70,NA,NA,NA,NA,NA,NA,NA,0,0,-7.02,-3.9
"Anomalopus_swansoni",81,2.98,6.32,3.96,0,0,0,3.33,0,0,2.58,-7.62
"Anomalopus_verreauxii",144.5,6.54,13.05,8.4,2.27,1.66,0.04,8.61,3,1,1.15,-3.43
"Calyptotis_lepidorostrum",43.5,3.63,7.97,4.91,2.38,4.75,2.64,4.28,5,5,1.01,-5.86
"Calyptotis_ruficauda",40.33,3.76,7.36,5.05,2.62,4.68,2.66,3.99,5,5,0.87,-6.24
"Calyptotis_scutirostrum",47.1,4.25,8.02,5.46,2.77,4.77,2.49,4.84,5,5,1.52,-5.33
"Coeranoscincus_frontalis",244.75,8.49,14.98,10.3,0,0,0,14.85,0,0,-3.23,-14.42
"Coggeria_naufragus",98,NA,NA,NA,NA,NA,NA,NA,3,3,0.11,-7.21
"Concinnia_tenuis_1",70.83,7.17,14.17,9.17,6.07,10.82,9.59,8.96,5,5,0.44,-4.49
"Ctenotus_agrestis",71.33,7.63,13.47,9.52,6.34,10.21,7.12,8.83,5,5,-0.06,1.4
"Ctenotus_alacer",56.92,6.07,12,7.48,5.38,9.22,8.99,6.44,5,5,2.37,0.33
"Ctenotus_allotropis",42.7,4.27,8.06,5.29,3.92,6.46,6.9,4.38,5,5,0.29,1.48
"Ctenotus_angusticeps",63.5,7.41,12.61,8.43,6.46,9.77,8.19,8.07,5,5,NA,NA
"Ctenotus_arcanus",46.34,4.5,9.06,5.45,3.78,6.26,6.5,4.88,5,5,1.2,-4.89
"Ctenotus_ariadnae",53.33,5.2,10.11,6.75,5,7.82,7.88,5.61,5,5,1.99,1.7
